subject_id,wave,participation,EVI,EVI_reduced,equal_polit,equal_job,equal_educ,homosexuality,abortion,divorce,SVI,rel_imp,rel_person,nation_pride,parents_proud,respect_author,age,hhsize,children,gender,maritalst,education,rel_service,hhincome,distress,bfive_extra,bfive_agree,bfive_consc,bfive_neuro,bfive_openn,region,prefecture,townsize,age_sq,age_group,cum_infected_in_pref_VIC1,cum_deaths_in_pref_VIC1,emergency_in_pref_VIC1
WVS227,WVS7,W0 only,77.77777777777777,77.77777777777777,NA,NA,100,100,66.6666666666667,0,NA,100,100,NA,0,100,25,4,0,Female,Single,Vocational school/University-preparator,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",625,18-35 years,36.14853903095434,1.558985830598464,1
WVS228,WVS7,W0 only,62.96296296296296,62.96296296296296,NA,NA,66.6666666666667,44.4444444444444,44.4444444444444,88.8888888888889,NA,100,100,66.6666666666667,NA,50,26,3,1,Female,Married,High school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kyushu and Okinawa,Ooita,"100,000-500,000",676,18-35 years,5.338781263013279,0.08897968771688798,0
WVS229,WVS7,W0 only,NA,NA,NA,NA,NA,100,44.4444444444444,44.4444444444444,77.77777777777777,100,100,33.3333333333333,33.3333333333333,100,22,1,0,Female,Single,Vocational school/University-preparator,Less often or never,NA,NA,NA,NA,NA,NA,NA,Shikoku,Ehime,"500,000 and more",484,18-35 years,5.2440702675449735,0.22474586860907028,0
WVS230,WVS7,W0 only,59.25925925925927,59.25925925925927,NA,NA,66.6666666666667,66.6666666666667,33.3333333333333,55.5555555555556,77.77777777777777,100,100,33.3333333333333,33.3333333333333,100,29,3,1,Female,Married,University-level education,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kyushu and Okinawa,Ooita,"100,000-500,000",841,18-35 years,5.338781263013279,0.08897968771688798,0
WVS231,WVS7,W0 only,83.33333333333334,83.33333333333334,NA,NA,66.6666666666667,100,100,100,NA,100,100,0,NA,100,35,4,2,Female,Married,Vocational school/University-preparator,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",1225,18-35 years,36.14853903095434,1.558985830598464,1
WVS232,WVS7,W0 only,74.07407407407408,74.07407407407408,NA,NA,66.6666666666667,77.7777777777778,77.7777777777778,88.8888888888889,NA,66.6666666666667,100,NA,33.3333333333333,100,40,4,2,Female,Married,High school,Once a year,NA,NA,NA,NA,NA,NA,NA,Kanto,Kanagawa,"500,000 and more",1600,36-50 years,13.521212877694081,0.6928403716352451,1
WVS233,WVS7,W0 only,68.51851851851852,68.51851851851852,NA,NA,66.6666666666667,77.7777777777778,44.4444444444444,88.8888888888889,NA,100,100,33.3333333333333,NA,100,29,3,1,Male,Married,University-level education,Once a week or more,NA,NA,NA,NA,NA,NA,NA,Chugoku,Okayama,"100,000-500,000",841,18-35 years,1.3238496276275766,0,0
WVS234,WVS7,W0 only,79.62962962962963,79.62962962962963,NA,NA,66.6666666666667,100,77.7777777777778,100,55.55555555555556,66.6666666666667,0,66.6666666666667,66.6666666666667,100,44,2,0,Male,Married,University-level education,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kanto,Kanagawa,"500,000 and more",1936,36-50 years,13.521212877694081,0.6928403716352451,1
WVS235,WVS7,W0 only,81.48148148148148,81.48148148148148,NA,NA,100,77.7777777777778,44.4444444444444,66.6666666666667,NA,66.6666666666667,100,0,NA,100,57,4,3,Male,Married,Vocational school/University-preparator,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Hokkaido and Tohoku,Yamagata,"100,000-500,000",3249,50+ years,6.460510829782394,0,0
WVS236,WVS7,W0 only,75.92592592592592,75.92592592592592,NA,NA,66.6666666666667,77.7777777777778,77.7777777777778,100,NA,100,NA,33.3333333333333,66.6666666666667,100,48,4,2,Female,Married,Vocational school/University-preparator,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kanto,Chiba,"500,000 and more",2304,36-50 years,14.002749630836599,0.6683130505626559,1
WVS237,WVS7,W0 only,57.407407407407405,57.407407407407405,NA,NA,66.6666666666667,100,22.2222222222222,22.2222222222222,69.44444444444446,66.6666666666667,100,33.3333333333333,33.3333333333333,100,40,4,2,Female,Married,Vocational school/University-preparator,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Chubu,Niigata,"100,000-500,000",1600,36-50 years,3.7251189312361217,0,0
WVS238,WVS7,W0 only,50,50,NA,NA,66.6666666666667,44.4444444444444,0,55.5555555555556,NA,66.6666666666667,100,66.6666666666667,NA,100,63,3,3,Male,Married,University-level education,Once a year,NA,NA,NA,NA,NA,NA,NA,Chubu,Aichi,"100,000-500,000",3969,50+ years,6.721984934533568,0.4507839995545193,0
WVS239,WVS7,W0 only,81.48148148148148,81.48148148148148,NA,NA,100,55.5555555555556,55.5555555555556,77.7777777777778,69.44444444444446,66.6666666666667,100,33.3333333333333,33.3333333333333,100,37,2,0,Female,Married,University-level education,Once a month,NA,NA,NA,NA,NA,NA,NA,Kansai,Kyoto,"500,000 and more",1369,36-50 years,13.886265281194932,0.5042498565797043,1
WVS240,WVS7,W0 only,NA,NA,NA,NA,33.3333333333333,77.7777777777778,NA,22.2222222222222,NA,100,100,0,NA,50,37,3,2,Female,Divorced,University-level education,Once a month,NA,NA,NA,NA,NA,NA,NA,Chubu,Aichi,"100,000-500,000",1369,36-50 years,6.721984934533568,0.4507839995545193,0
WVS241,WVS7,W0 only,66.66666666666667,66.66666666666667,NA,NA,66.6666666666667,77.7777777777778,44.4444444444444,77.7777777777778,NA,66.6666666666667,NA,33.3333333333333,33.3333333333333,100,50,5,3,Male,Married,University-level education,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kansai,Mie,"100,000-500,000",2500,36-50 years,2.5420080960133404,0.05648906880029646,0
WVS242,WVS7,W0 only,88.88888888888889,88.88888888888889,NA,NA,100,100,66.6666666666667,66.6666666666667,69.44444444444446,66.6666666666667,100,0,66.6666666666667,100,28,1,0,Female,Single,Vocational school/University-preparator,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kyushu and Okinawa,Ooita,"100,000-500,000",784,18-35 years,5.338781263013279,0.08897968771688798,0
WVS243,WVS7,W0 only,NA,NA,NA,NA,NA,11.1111111111111,100,77.7777777777778,83.33333333333334,100,100,66.6666666666667,33.3333333333333,100,36,8,4,Male,Married,University-level education,Once a year,NA,NA,NA,NA,NA,NA,NA,Chubu,Gifu,"100,000-500,000",1296,36-50 years,7.580573920197782,0.35376011627589654,0
WVS244,WVS7,W0 only,90.74074074074073,90.74074074074073,NA,NA,100,100,44.4444444444444,100,NA,NA,100,33.3333333333333,33.3333333333333,100,47,5,2,Female,Married,Vocational school/University-preparator,Once a month,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",2209,36-50 years,36.14853903095434,1.558985830598464,1
WVS245,WVS7,W0 only,NA,NA,NA,NA,NA,100,44.4444444444444,100,NA,100,NA,66.6666666666667,33.3333333333333,100,29,4,2,Female,Married,High school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kanto,Chiba,"100,000-500,000",841,18-35 years,14.002749630836599,0.6683130505626559,1
WVS246,WVS7,W0 only,74.07407407407408,74.07407407407408,NA,NA,100,66.6666666666667,11.1111111111111,66.6666666666667,77.77777777777777,100,100,33.3333333333333,33.3333333333333,100,51,3,1,Female,Married,Vocational school/University-preparator,Once a year,NA,NA,NA,NA,NA,NA,NA,Chubu,Aichi,"500,000 and more",2601,50+ years,6.721984934533568,0.4507839995545193,0
WVS247,WVS7,W0 only,46.2962962962963,46.2962962962963,NA,NA,33.3333333333333,22.2222222222222,66.6666666666667,88.8888888888889,NA,66.6666666666667,100,33.3333333333333,NA,50,50,2,2,Female,Divorced,High school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Hokkaido and Tohoku,Hokkaido,"500,000 and more",2500,36-50 years,19.121029802393057,1.397232407982676,1
WVS248,WVS7,W0 only,68.51851851851852,68.51851851851852,NA,NA,66.6666666666667,100,11.1111111111111,100,30.555555555555557,33.3333333333333,0,0,33.3333333333333,100,24,5,0,Female,Single,Vocational school/University-preparator,Once a month,NA,NA,NA,NA,NA,NA,NA,Kanto,Kanagawa,"100,000-500,000",576,18-35 years,13.521212877694081,0.6928403716352451,1
WVS249,WVS7,W0 only,37.03703703703704,37.03703703703704,NA,NA,66.6666666666667,0,0,22.2222222222222,58.33333333333334,66.6666666666667,100,0,0,100,50,3,2,Female,Married,Vocational school/University-preparator,Less often or never,NA,NA,NA,NA,NA,NA,NA,Shikoku,Ehime,"500,000 and more",2500,36-50 years,5.2440702675449735,0.22474586860907028,0
WVS250,WVS7,W0 only,62.96296296296296,62.96296296296296,NA,NA,66.6666666666667,44.4444444444444,88.8888888888889,44.4444444444444,83.33333333333334,100,100,66.6666666666667,33.3333333333333,100,48,5,3,Male,Married,Vocational school/University-preparator,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kansai,Hyogo,"100,000-500,000",2304,36-50 years,12.772181968094431,0.6953336888074332,1
WVS251,WVS7,W0 only,55.55555555555556,55.55555555555556,NA,NA,66.6666666666667,33.3333333333333,33.3333333333333,66.6666666666667,88.88888888888889,100,100,66.6666666666667,66.6666666666667,100,32,3,1,Female,Married,High school,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kanto,Kanagawa,"100,000-500,000",1024,18-35 years,13.521212877694081,0.6928403716352451,1
WVS252,WVS7,W0 only,75.92592592592592,75.92592592592592,NA,NA,100,88.8888888888889,22.2222222222222,44.4444444444444,63.88888888888889,66.6666666666667,100,0,33.3333333333333,100,53,1,0,Female,Single,High school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Chugoku,Yamaguchi,"100,000-500,000",2809,50+ years,2.756957779054423,0,0
WVS253,WVS7,W0 only,NA,NA,NA,NA,NA,66.6666666666667,22.2222222222222,66.6666666666667,69.44444444444446,66.6666666666667,100,33.3333333333333,33.3333333333333,100,26,3,1,Male,Married,University-level education,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Chubu,Aichi,"100,000-500,000",676,18-35 years,6.721984934533568,0.4507839995545193,0
WVS254,WVS7,W0 only,57.407407407407405,57.407407407407405,NA,NA,33.3333333333333,100,44.4444444444444,100,NA,NA,NA,NA,NA,100,19,7,0,Female,Single,High school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kansai,Hyogo,"100,000-500,000",361,18-35 years,12.772181968094431,0.6953336888074332,1
WVS255,WVS7,W0 only,NA,NA,NA,NA,NA,100,44.4444444444444,44.4444444444444,NA,NA,NA,NA,0,50,20,4,0,Male,Single,University-level education,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kanto,Kanagawa,"100,000-500,000",400,18-35 years,13.521212877694081,0.6928403716352451,1
WVS256,WVS7,W0 only,57.407407407407405,57.407407407407405,NA,NA,100,11.1111111111111,11.1111111111111,22.2222222222222,NA,66.6666666666667,100,0,NA,100,71,1,3,Female,Widowed,High school,Once a month,NA,NA,NA,NA,NA,NA,NA,Shikoku,Kochi,"5,000-20,000",5041,50+ years,10.700956000271862,0.43382254055156194,0
WVS257,WVS7,W0 only,61.111111111111114,61.111111111111114,NA,NA,66.6666666666667,100,22.2222222222222,44.4444444444444,NA,100,100,NA,NA,100,25,6,2,Female,Divorced,Vocational school/University-preparator,Less often or never,NA,NA,NA,NA,NA,NA,NA,Hokkaido and Tohoku,Akita,"100,000-500,000",625,18-35 years,1.6675316987353854,0,0
WVS258,WVS7,W0 only,70.37037037037037,70.37037037037037,NA,NA,100,44.4444444444444,66.6666666666667,11.1111111111111,61.111111111111114,33.3333333333333,100,33.3333333333333,33.3333333333333,100,77,2,2,Female,Married,Vocational school/University-preparator,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",5929,50+ years,36.14853903095434,1.558985830598464,1
WVS259,WVS7,W0 only,NA,NA,NA,NA,66.6666666666667,100,NA,44.4444444444444,36.111111111111114,33.3333333333333,0,33.3333333333333,33.3333333333333,100,63,2,3,Female,Married,Vocational school/University-preparator,Once a month,NA,NA,NA,NA,NA,NA,NA,Kansai,Hyogo,"100,000-500,000",3969,50+ years,12.772181968094431,0.6953336888074332,1
WVS260,WVS7,W0 only,75.92592592592592,75.92592592592592,NA,NA,100,100,11.1111111111111,44.4444444444444,69.44444444444446,66.6666666666667,100,0,66.6666666666667,100,70,2,2,Male,Married,High school,Once a year,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",4900,50+ years,36.14853903095434,1.558985830598464,1
WVS261,WVS7,W0 only,50,50,NA,NA,66.6666666666667,0,0,100,86.11111111111111,66.6666666666667,100,100,66.6666666666667,100,80,2,2,Female,Widowed,Primary or Junior high school,Once a week or more,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",6400,50+ years,36.14853903095434,1.558985830598464,1
WVS262,WVS7,W0 only,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.6666666666667,NA,33.3333333333333,NA,50,43,6,2,Male,Married,Vocational school/University-preparator,Once a month,NA,NA,NA,NA,NA,NA,NA,Kansai,Nara,"20,000-100,000",1849,36-50 years,6.568650323562655,0.15100345571408402,0
WVS263,WVS7,W0 only,75.92592592592592,75.92592592592592,NA,NA,66.6666666666667,55.5555555555556,100,100,NA,66.6666666666667,0,33.3333333333333,NA,100,59,4,3,Male,Married,University-level education,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kanto,Chiba,"500,000 and more",3481,50+ years,14.002749630836599,0.6683130505626559,1
WVS264,WVS7,W0 only,53.70370370370371,53.70370370370371,NA,NA,66.6666666666667,55.5555555555556,22.2222222222222,44.4444444444444,55.55555555555556,66.6666666666667,100,33.3333333333333,0,50,66,3,2,Female,Married,University-level education,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Chugoku,Hiroshima,"100,000-500,000",4356,50+ years,5.8934843779802275,0.07143617427854822,0
WVS265,WVS7,W0 only,59.25925925925927,59.25925925925927,NA,NA,66.6666666666667,66.6666666666667,44.4444444444444,44.4444444444444,61.111111111111114,66.6666666666667,100,33.3333333333333,33.3333333333333,50,36,1,0,Male,Single,University-level education,Once a month,NA,NA,NA,NA,NA,NA,NA,Kanto,Kanagawa,"500,000 and more",1296,36-50 years,13.521212877694081,0.6928403716352451,1
WVS266,WVS7,W0 only,81.48148148148148,81.48148148148148,NA,NA,100,100,44.4444444444444,44.4444444444444,83.33333333333334,100,100,33.3333333333333,66.6666666666667,100,36,5,2,Male,Married,University-level education,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kansai,Osaka,"100,000-500,000",1296,36-50 years,20.005238928520306,0.7468019057026812,1
WVS267,WVS7,W0 only,NA,NA,NA,NA,100,100,NA,NA,77.77777777777777,100,100,33.3333333333333,33.3333333333333,100,43,7,3,Male,Married,High school,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Chubu,Gifu,"5,000-20,000",1849,36-50 years,7.580573920197782,0.35376011627589654,0
WVS268,WVS7,W0 only,88.88888888888889,88.88888888888889,NA,NA,100,66.6666666666667,66.6666666666667,100,83.33333333333334,100,100,66.6666666666667,33.3333333333333,100,23,1,0,Male,Single,High school,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kyushu and Okinawa,Fukuoka,"100,000-500,000",529,18-35 years,12.794014037194945,0.486834628508179,0
WVS269,WVS7,W0 only,74.07407407407408,74.07407407407408,NA,NA,66.6666666666667,100,44.4444444444444,100,52.77777777777778,0,100,33.3333333333333,33.3333333333333,100,65,2,1,Male,Married,University-level education,Once a month,NA,NA,NA,NA,NA,NA,NA,Kanto,Chiba,"100,000-500,000",4225,50+ years,14.002749630836599,0.6683130505626559,1
WVS270,WVS7,W0 only,79.62962962962963,79.62962962962963,NA,NA,100,77.7777777777778,44.4444444444444,55.5555555555556,77.77777777777777,100,100,33.3333333333333,33.3333333333333,100,43,5,3,Female,Married,High school,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kyushu and Okinawa,Fukuoka,"500,000 and more",1849,36-50 years,12.794014037194945,0.486834628508179,0
WVS271,WVS7,W0 only,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.6666666666667,NA,66.6666666666667,NA,50,64,2,1,Male,Married,Vocational school/University-preparator,Once a year,NA,NA,NA,NA,NA,NA,NA,Chugoku,Okayama,"5,000-20,000",4096,50+ years,1.3238496276275766,0,0
WVS272,WVS7,W0 only,NA,NA,NA,NA,NA,77.7777777777778,55.5555555555556,77.7777777777778,NA,100,0,0,NA,100,48,4,4,Male,Married,Vocational school/University-preparator,Once a year,NA,NA,NA,NA,NA,NA,NA,Kansai,Hyogo,"100,000-500,000",2304,36-50 years,12.772181968094431,0.6953336888074332,1
WVS273,WVS7,W0 only,72.22222222222223,72.22222222222223,NA,NA,66.6666666666667,100,66.6666666666667,66.6666666666667,NA,66.6666666666667,100,66.6666666666667,NA,100,49,3,0,Female,Single,High school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kanto,Saitama,"100,000-500,000",2401,36-50 years,13.288376142735677,0.612681277072854,1
WVS274,WVS7,W0 only,NA,NA,NA,NA,NA,66.6666666666667,NA,100,83.33333333333334,100,100,66.6666666666667,33.3333333333333,100,36,4,2,Female,Married,Vocational school/University-preparator,Once a year,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",1296,36-50 years,36.14853903095434,1.558985830598464,1
WVS275,WVS7,W0 only,72.22222222222223,72.22222222222223,NA,NA,66.6666666666667,55.5555555555556,77.7777777777778,100,NA,66.6666666666667,100,NA,33.3333333333333,100,57,3,1,Male,Married,University-level education,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",3249,50+ years,36.14853903095434,1.558985830598464,1
WVS276,WVS7,W0 only,90.74074074074073,90.74074074074073,NA,NA,100,100,44.4444444444444,100,63.88888888888889,66.6666666666667,100,0,33.3333333333333,100,57,2,2,Female,Married,Vocational school/University-preparator,Once a month,NA,NA,NA,NA,NA,NA,NA,Kanto,Chiba,"100,000-500,000",3249,50+ years,14.002749630836599,0.6683130505626559,1
WVS277,WVS7,W0 only,NA,NA,NA,NA,100,NA,NA,100,80.55555555555556,66.6666666666667,100,33.3333333333333,100,100,58,3,1,Female,Married,High school,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kanto,Kanagawa,"100,000-500,000",3364,50+ years,13.521212877694081,0.6928403716352451,1
WVS278,WVS7,W0 only,NA,NA,NA,NA,100,NA,0,NA,50,66.6666666666667,0,33.3333333333333,66.6666666666667,100,54,4,2,Female,Married,Vocational school/University-preparator,Once a month,NA,NA,NA,NA,NA,NA,NA,Chugoku,Yamaguchi,"100,000-500,000",2916,50+ years,2.756957779054423,0,0
WVS279,WVS7,W0 only,61.111111111111114,61.111111111111114,NA,NA,66.6666666666667,77.7777777777778,44.4444444444444,44.4444444444444,55.55555555555556,33.3333333333333,100,0,33.3333333333333,100,75,2,2,Female,Married,Vocational school/University-preparator,Once a year,NA,NA,NA,NA,NA,NA,NA,Kanto,Chiba,"100,000-500,000",5625,50+ years,14.002749630836599,0.6683130505626559,1
WVS280,WVS7,W0 only,NA,NA,NA,NA,33.3333333333333,NA,NA,NA,NA,NA,NA,0,33.3333333333333,100,74,3,1,Male,Married,University-level education,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",5476,50+ years,36.14853903095434,1.558985830598464,1
WVS281,WVS7,W0 only,NA,NA,NA,NA,NA,100,33.3333333333333,44.4444444444444,NA,33.3333333333333,0,33.3333333333333,NA,100,33,2,0,Male,Married,Vocational school/University-preparator,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kansai,Hyogo,"500,000 and more",1089,18-35 years,12.772181968094431,0.6953336888074332,1
WVS282,WVS7,W0 only,55.55555555555556,55.55555555555556,NA,NA,66.6666666666667,44.4444444444444,44.4444444444444,44.4444444444444,30.555555555555557,33.3333333333333,0,33.3333333333333,0,100,73,2,2,Female,Married,Vocational school/University-preparator,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Chubu,Aichi,"100,000-500,000",5329,50+ years,6.721984934533568,0.4507839995545193,0
WVS283,WVS7,W0 only,55.55555555555556,55.55555555555556,NA,NA,66.6666666666667,44.4444444444444,44.4444444444444,44.4444444444444,NA,NA,0,NA,33.3333333333333,50,77,4,3,Female,Widowed,High school,Once a month,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",5929,50+ years,36.14853903095434,1.558985830598464,1
WVS284,WVS7,W0 only,61.111111111111114,61.111111111111114,NA,NA,100,44.4444444444444,11.1111111111111,11.1111111111111,NA,100,100,33.3333333333333,NA,100,55,4,2,Female,Married,University-level education,Once a year,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",3025,50+ years,36.14853903095434,1.558985830598464,1
WVS285,WVS7,W0 only,33.333333333333336,33.333333333333336,NA,NA,66.6666666666667,0,0,0,69.44444444444446,66.6666666666667,100,33.3333333333333,33.3333333333333,100,82,4,1,Female,Married,High school,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kanto,Saitama,"100,000-500,000",6724,50+ years,13.288376142735677,0.612681277072854,1
WVS286,WVS7,W0 only,NA,NA,NA,NA,NA,100,0,100,NA,100,100,0,NA,100,49,1,0,Male,Married,University-level education,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Chubu,Aichi,"20,000-100,000",2401,36-50 years,6.721984934533568,0.4507839995545193,0
WVS287,WVS7,W0 only,68.51851851851852,68.51851851851852,NA,NA,66.6666666666667,55.5555555555556,55.5555555555556,100,72.22222222222223,100,100,0,33.3333333333333,100,66,2,NA,Female,NA,NA,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",4356,50+ years,36.14853903095434,1.558985830598464,1
WVS288,WVS7,W0 only,81.48148148148148,81.48148148148148,NA,NA,100,44.4444444444444,44.4444444444444,100,NA,100,NA,0,33.3333333333333,100,54,4,2,Male,Married,High school,Once a year,NA,NA,NA,NA,NA,NA,NA,Hokkaido and Tohoku,Hokkaido,"500,000 and more",2916,50+ years,19.121029802393057,1.397232407982676,1
WVS289,WVS7,W0 only,90.74074074074073,90.74074074074073,NA,NA,100,100,44.4444444444444,100,75,66.6666666666667,100,66.6666666666667,33.3333333333333,100,32,3,0,Male,Single,University-level education,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kanto,Tochigi,"5,000-20,000",1024,18-35 years,3.103749018439373,0,0
WVS290,WVS7,W0 only,55.55555555555556,55.55555555555556,NA,NA,66.6666666666667,44.4444444444444,44.4444444444444,44.4444444444444,75,66.6666666666667,100,33.3333333333333,66.6666666666667,100,41,4,2,Male,Married,High school,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kansai,Osaka,"100,000-500,000",1681,36-50 years,20.005238928520306,0.7468019057026812,1
WVS291,WVS7,W0 only,NA,NA,NA,NA,100,NA,0,NA,41.66666666666667,100,0,0,0,100,64,3,2,Female,Married,High school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Hokkaido and Tohoku,Fukushima,"5,000-20,000",4096,50+ years,4.41861885975631,0,0
WVS292,WVS7,W0 only,42.592592592592595,42.592592592592595,NA,NA,66.6666666666667,22.2222222222222,0,33.3333333333333,66.66666666666667,33.3333333333333,100,0,100,100,72,1,2,Male,Widowed,University-level education,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kyushu and Okinawa,Fukuoka,"20,000-100,000",5184,50+ years,12.794014037194945,0.486834628508179,0
WVS293,WVS7,W0 only,51.851851851851855,51.851851851851855,NA,NA,66.6666666666667,33.3333333333333,22.2222222222222,55.5555555555556,75,66.6666666666667,100,33.3333333333333,66.6666666666667,100,58,5,2,Female,Married,Vocational school/University-preparator,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kansai,Kyoto,"500,000 and more",3364,50+ years,13.886265281194932,0.5042498565797043,1
WVS294,WVS7,W0 only,90.74074074074073,90.74074074074073,NA,NA,100,100,44.4444444444444,100,86.11111111111111,66.6666666666667,100,66.6666666666667,100,100,55,4,3,Female,Married,High school,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Hokkaido and Tohoku,Miyagi,"500,000 and more",3025,50+ years,3.8227694574621327,0.04344056201661515,0
WVS295,WVS7,W0 only,62.96296296296296,62.96296296296296,NA,NA,66.6666666666667,55.5555555555556,44.4444444444444,77.7777777777778,69.44444444444446,66.6666666666667,100,33.3333333333333,33.3333333333333,100,52,5,3,Male,Married,High school,Once a month,NA,NA,NA,NA,NA,NA,NA,Kanto,Saitama,"20,000-100,000",2704,50+ years,13.288376142735677,0.612681277072854,1
WVS296,WVS7,W0 only,64.81481481481481,64.81481481481481,NA,NA,66.6666666666667,44.4444444444444,44.4444444444444,100,72.22222222222223,100,100,0,33.3333333333333,100,59,4,1,Female,Divorced,High school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kanto,Chiba,"100,000-500,000",3481,50+ years,14.002749630836599,0.6683130505626559,1
WVS297,WVS7,W0 only,55.55555555555556,55.55555555555556,NA,NA,66.6666666666667,44.4444444444444,44.4444444444444,44.4444444444444,75,66.6666666666667,100,66.6666666666667,33.3333333333333,100,49,2,2,Male,Married,University-level education,Less often or never,NA,NA,NA,NA,NA,NA,NA,Shikoku,Kochi,"5,000-20,000",2401,36-50 years,10.700956000271862,0.43382254055156194,0
WVS298,WVS7,W0 only,64.81481481481481,64.81481481481481,NA,NA,66.6666666666667,88.8888888888889,22.2222222222222,77.7777777777778,NA,66.6666666666667,100,33.3333333333333,NA,100,39,3,1,Male,Married,University-level education,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Chubu,Ishikawa,"20,000-100,000",1521,36-50 years,25.164985174733292,1.7659638719111084,0
WVS299,WVS7,W0 only,66.66666666666667,66.66666666666667,NA,NA,66.6666666666667,100,11.1111111111111,88.8888888888889,83.33333333333334,100,100,33.3333333333333,66.6666666666667,100,46,4,2,Male,Married,Vocational school/University-preparator,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kansai,Osaka,"500,000 and more",2116,36-50 years,20.005238928520306,0.7468019057026812,1
WVS300,WVS7,W0 only,88.88888888888889,88.88888888888889,NA,NA,100,66.6666666666667,77.7777777777778,88.8888888888889,77.77777777777777,100,100,33.3333333333333,33.3333333333333,100,39,4,2,Male,Married,High school,Less often or never,NA,NA,NA,NA,NA,NA,NA,Chubu,Aichi,"500,000 and more",1521,36-50 years,6.721984934533568,0.4507839995545193,0
WVS301,WVS7,W0 only,79.62962962962963,79.62962962962963,NA,NA,66.6666666666667,100,88.8888888888889,88.8888888888889,75,66.6666666666667,100,66.6666666666667,33.3333333333333,100,31,4,2,Female,Married,Vocational school/University-preparator,Less often or never,NA,NA,NA,NA,NA,NA,NA,Hokkaido and Tohoku,Fukushima,"100,000-500,000",961,18-35 years,4.41861885975631,0,0
WVS302,WVS7,W0 only,NA,NA,NA,NA,NA,22.2222222222222,11.1111111111111,22.2222222222222,NA,66.6666666666667,100,NA,33.3333333333333,100,46,4,2,Female,Married,Vocational school/University-preparator,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Hokkaido and Tohoku,Fukushima,"100,000-500,000",2116,36-50 years,4.41861885975631,0,0
WVS303,WVS7,W0 only,87.03703703703704,87.03703703703704,NA,NA,100,100,100,22.2222222222222,NA,100,100,NA,100,100,37,3,0,Male,Single,University-level education,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kanto,Chiba,"500,000 and more",1369,36-50 years,14.002749630836599,0.6683130505626559,1
